Restaurant Name,Restaurant Address,Restaurant City,Rating,Category,Cost,Review Count
The Golden Chippy,"['62 Greenwich High Road', 'Greenwich', 'London SE10 8LF', 'United Kingdom']",London,5.0,fishnchips,££,67
Kennington Lane Cafe,"['383 Kennington Lane', 'Vauxhall', 'London SE11 5QY', 'United Kingdom']",London,5.0,cafes,£,63
Il Portico,"['277 Kensington High Street', 'London W8 6NA', 'United Kingdom']",London,5.0,italian,£££,48
Bageriet,"['24 Rose Street', 'London WC2E 9EA', 'United Kingdom']",London,5.0,scandinavian,£,59
The Tiroler Hut Restaurant,"['27 Westbourne Grove', 'London W2 4UA', 'United Kingdom']",London,4.5,german,££,67
The Fat Bear,"['61 Carter Lane', 'London EC4V 5DY', 'United Kingdom']",London,4.5,tradamerican,££,107
Ozone Coffee,"['11 Leonard Street', 'London EC2A 4AQ', 'United Kingdom']",London,4.5,coffee,££,176
Barrafina,"['10 Adelaide Street', 'London WC2N 4HZ', 'United Kingdom']",London,4.5,spanish,£££,60
Pimlico Fresh,"['85 Wilton Road', 'London SW1V 1DE', 'United Kingdom']",London,4.5,coffee,££,142
Quilon Restaurant,"['41 Buckingham Gate', 'London SW1E 6AF', 'United Kingdom']",London,4.5,indpak,£££,143
Franco Manca,"['4 Market Row', 'Electric Lane', 'London SW9 8LD', 'United Kingdom']",London,4.5,italian,£,168
Goodman,"['26 Maddox Street', 'London W1S 1QH', 'United Kingdom']",London,4.5,steak,£££,104
Kanada-Ya,"['64 St Giles High Street', 'London WC2H 8LE', 'United Kingdom']",London,4.5,ramen,££,141
Blacklock,"['The Basement', '24 Great Windmill Street', 'London W1D 7LG', 'United Kingdom']",London,4.5,british,£££,79
Ffiona's Restaurant,"['51 Kensington Church Street', 'London W8 4BA', 'United Kingdom']",London,4.5,british,££,236
Pizza Union,"[""25 Sandy's Row"", 'Corner of Middlesex Street', 'Spitalfields', 'London E1 7HW', 'United Kingdom']",London,4.5,pizza,£,81
Hawksmoor Spitalfields,"['157a Commercial Street', 'London E1 6BJ', 'United Kingdom']",London,4.5,steak,£££,169
The Pig and Butcher,"['80 Liverpool Road', 'London N1 0QD', 'United Kingdom']",London,4.5,british,££,93
Savoir Faire,"['42 New Oxford Street', 'London WC1A 1EP', 'United Kingdom']",London,4.5,french,££,187
Big Apple Hot Dogs,"['Cole & Sons', '170 Caledonian Rd', 'Kings Cross', 'London N1 0SQ', 'United Kingdom']",London,4.5,hotdog,££,47
Burger & Lobster,"['29 Clarges Street', 'Mayfair W1J 7EF', 'United Kingdom']",Mayfair,4.5,tradamerican,£££,211
The Victoria,"['10a Strathearn Place', 'Paddington W2 2NH', 'United Kingdom']",Paddington,4.5,pubs,££,173
Hawksmoor,"['5A Air Street', 'London W1J 0AD', 'United Kingdom']",London,4.5,seafood,£££,139
Barrafina,"['43 Drury Lane', 'Covent Garden', 'London WC2B 5RT', 'United Kingdom']",London,4.5,spanish,££,52
