Restaurant Name,Restaurant Address,Restaurant City,Rating,Category,Cost,Review Count
Ibuki,"['西新宿1-16-8', '河野ビル別館2F', 'Shinjuku, 東京都 〒160-0023', 'Japan']",Shinjuku,5.0,sukiyaki,,41
Ichiran Shibuya Spainzaka,"['宇田川町13-7', 'コヤスワンB1F', 'Shibuya, 東京都 〒150-0042', 'Japan']",Shibuya,5.0,ramen,￥,51
Gomei,"['銀座6-4-18-B1', 'Chūō, 東京都 〒104-0061', 'Japan']",Chūō,5.0,kaiseki,￥￥￥￥,25
Sushisho Masa,"['西麻布4丁目1-15', 'セブン西麻布', 'Minato, 東京都 〒106-0031', 'Japan']",Minato,5.0,sushi,￥￥￥￥,49
Uogashi Nihon Ichi Shinjuku Nishiguchi,"['西新宿1-12', '河西ビル1F', 'Shinjuku, 東京都 〒160-0023', 'Japan']",Shinjuku,5.0,sushi,￥,90
Hakushu,"['桜丘町17-10', 'MCD Building 1F', 'Shibuya, 東京都 〒150-0031', 'Japan']",Shibuya,5.0,steak,￥￥￥,85
Sapporo DOMINICA Ginza,"['京橋3-4-1', 'ＴＭ銀座ビル 2F', 'Chūō, 東京都 〒104-0031', 'Japan']",Chūō,5.0,japacurry,￥,56
Manten Sushi,"['丸の内2-6-1', '丸の内ブリックスクエアB1F', 'Chiyoda, 東京都 〒100-0005', 'Japan']",Chiyoda,5.0,sushi,￥￥￥,34
Gyukatsu MOTOMURA Tokyo Eki Yaesuguchi,"['八重洲1-6-14', 'Chūō, 東京都 〒103-0028', 'Japan']",Chūō,5.0,japanese,￥￥,80
Tokyo Shiba Tofuya Ukai,"['芝公園4-4-13', 'Minato, 東京都 〒105-0011', 'Japan']",Minato,5.0,kaiseki,￥￥￥,36
AKIBA FUKUROU,"['神田練塀町67', 'Chiyoda, 東京都 〒101-0022', 'Japan']",Chiyoda,5.0,themedcafes,￥,66
Gyukatsu Motomura Shinjuku,"['新宿3-32-2', 'モトビル地下1F', 'Shinjuku, 東京都 〒160-0022', 'Japan']",Shinjuku,5.0,tempura,￥￥,72
Umai Sushi Kan Akasaka,"['赤坂3丁目13-10', 'Minato, 東京都 〒107-0052', 'Japan']",Minato,5.0,sushi,￥￥,28
