,name,rating,address,price_1,price_2
0,The Rex Hotel Jazz and Blues Bar,4.4,"194 Queen Street West, Toronto",3.0,3.0
1,Hotel Novotel Toronto Centre,4.2,"45 The Esplanade, Toronto",,
2,HOTEL OCHO,4.3,"195 Spadina Avenue, Toronto",,
4,Gladstone Hotel,4.3,"1214 Queen Street West, Toronto",,
8,Hotel Novotel Toronto Vaughan,4.2,"200 Bass Pro Mills Drive, Concord",,
10,The Glenerin Inn & Spa,4.2,"1695 The Collegeway, Mississauga",,
11,Freshii,4.1,"1055 Yonge Street, Toronto",2.0,
12,Buca,4.3,"604 King Street West, Toronto",4.0,
15,Petit Dejeuner,4.4,"191 King Street East, Toronto",2.0,
16,Marquis Lounge and Bistro,4.4,"92 Peter Street, Toronto",,
17,Red Lobster,4.1,"20 Dundas Street West, Toronto",2.0,
19,La Bettola Di Terroni,4.1,"106 Victoria Street, Toronto",2.0,2.0
20,Dominion Pub and Kitchen,4.2,"500 Queen Street East, Toronto",2.0,2.0
21,Cibo Wine Bar Yorkville,4.1,"133 Yorkville Avenue, Toronto",3.0,3.0
22,Yuzu No Hana,4.2,"236 Adelaide Street West, Toronto",3.0,3.0
23,P.J. O'Brien Irish Pub & Restaurant,4.4,"39 Colborne Street, Toronto",2.0,2.0
24,Smoke's Poutinerie,4.1,"218 Adelaide Street West, Toronto",,
25,IKEA Etobicoke,4.3,"1475 The Queensway, Etobicoke",,
27,Duke of York,4.1,"39 Prince Arthur Avenue, Toronto",2.0,
31,Medieval Times Dinner & Tournament,4.5,"10 Dufferin Street, Toronto",,
32,Duff's Famous Wings,4.4,"558, Toronto",2.0,
33,Khao San Road,4.3,"11 Charlotte Street, Toronto",2.0,
34,Dimmi Bar & Trattoria,4.3,"140 Cumberland Street, Toronto",2.0,2.0
39,Pure Spirits Oyster House & Grill,4.3,"17 Tank House Lane, Toronto",3.0,3.0
43,Jacobs & Co.,4.7,"12 Brant Street, Toronto",4.0,4.0
45,Gardiner Museum,4.3,"111 Queens Park, Toronto",3.0,3.0
46,7 West Cafe,4.2,"7 Charles Street West, Toronto",2.0,2.0
47,Sansotei Ramen,4.5,"179 Dundas Street West, Toronto",1.0,
48,Rivoli Pool Hall,4.1,"334 Queen Street West, Toronto",2.0,2.0
49,Ajisen Ramen,4.4,"332 Spadina Avenue, Toronto",1.0,
51,The Keg,4.5,"26 The Esplanade, Toronto",3.0,
52,The Burger's Priest,4.2,"1636 Queen Street East, Toronto",2.0,
55,Archeo,4.1,"31 Trinity Street, Toronto",2.0,2.0
56,School,4.1,"70 Fraser Avenue, Toronto",2.0,
57,Enoteca Sociale,4.5,"1288 Dundas Street West, Toronto",2.0,2.0
58,Caffino,4.3,"1185 King Street West, Toronto",2.0,2.0
59,Banjara Eglinton,4.1,"164 Eglinton Avenue East, Toronto",2.0,2.0
